"chapter","trust","joy","disgust","sadness","anger","fear","anticipation","surprise"
"1","26","19","13","10","7","6","4","2"
"2","23","16","15","11","14","15","6","12"
"3","18","17","7","6","","2","1",""
"4","6","13","9","12","7","7","3","9"
"5","20","10","5","11","6","7","8","3"
"6","22","8","6","19","9","14","6","2"
"7","6","4","3","3","1","1","1","2"
"8","28","16","17","36","20","28","15","16"
"9","18","9","6","13","5","14","10","9"
"10","51","63","59","76","55","67","36","21"
